股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元)
600519.SH,2001-08-27,34.51,37.78,32.85,35.55,31.39,4.16,13.25,406318.0,1410347.179
600519.SH,2001-08-28,34.99,37.0,34.61,36.86,35.55,1.31,3.69,129647.79,463463.143
600519.SH,2001-08-29,36.98,37.0,36.1,36.38,36.86,-0.48,-1.3,53252.75,194689.62
600519.SH,2001-08-30,36.28,37.51,36.0,37.1,36.38,0.72,1.98,48013.06,177558.558
600519.SH,2001-08-31,37.15,37.62,36.8,37.01,37.1,-0.09,-0.24,23231.48,86231.237
600519.SH,2001-09-03,37.2,37.57,36.85,36.99,37.01,-0.02,-0.05,22112.09,82129.438
600519.SH,2001-09-04,37.01,38.08,36.88,37.46,36.99,0.47,1.27,37006.77,139204.38
600519.SH,2001-09-05,37.61,37.92,37.21,37.44,37.46,-0.02,-0.05,26066.95,97796.243
600519.SH,2001-09-06,37.35,37.47,36.51,36.7,37.44,-0.74,-1.98,28997.03,107078.403
600519.SH,2001-09-07,36.5,36.95,35.65,35.68,36.7,-1.02,-2.78,31552.25,113868.743
600519.SH,2001-09-10,35.4,36.85,35.01,36.7,35.68,1.02,2.86,18878.89,68406.471
600519.SH,2001-09-11,36.8,36.95,36.2,36.29,36.7,-0.41,-1.12,11390.81,41579.698
600519.SH,2001-09-12,35.33,36.2,35.3,35.98,36.29,-0.31,-0.85,25045.19,89421.38
600519.SH,2001-09-13,36.01,36.3,35.7,35.89,35.98,-0.09,-0.25,10986.68,39512.775
600519.SH,2001-09-14,36.01,36.5,35.8,36.3,35.89,0.41,1.14,7672.83,27740.691
600519.SH,2001-09-17,36.08,36.29,35.5,35.84,36.3,-0.46,-1.27,8983.97,32183.249
600519.SH,2001-09-18,35.88,36.55,35.85,36.25,35.84,0.41,1.14,10773.26,39006.062
600519.SH,2001-09-19,36.3,36.92,36.06,36.92,36.25,0.67,1.85,8650.53,31597.369
600519.SH,2001-09-20,36.9,37.05,36.5,36.61,36.92,-0.31,-0.84,11173.35,41189.577
600519.SH,2001-09-21,36.28,36.6,36.0,36.06,36.61,-0.55,-1.5,7879.72,28638.681
600519.SH,2001-09-24,36.06,36.39,36.0,36.05,36.06,-0.01,-0.03,4068.6,14703.096
600519.SH,2001-09-25,36.28,36.54,36.05,36.23,36.05,0.18,0.5,3488.45,12639.79
600519.SH,2001-09-26,36.11,36.48,36.0,36.08,36.23,-0.15,-0.41,4956.26,17892.565
600519.SH,2001-09-27,36.08,36.98,36.0,36.7,36.08,0.62,1.72,8778.04,32085.131
600519.SH,2001-09-28,36.9,37.2,36.5,37.09,36.7,0.39,1.06,17088.47,63169.143
600519.SH,2001-10-08,37.0,37.18,36.25,36.58,37.09,-0.51,-1.38,6552.17,24091.149
600519.SH,2001-10-09,36.6,37.5,36.6,37.3,36.58,0.72,1.97,9558.52,35498.605
600519.SH,2001-10-10,37.3,37.43,36.03,36.1,37.3,-1.2,-3.22,17548.69,63956.753
600519.SH,2001-10-11,36.01,36.5,35.65,35.75,36.1,-0.35,-0.97,12306.84,44319.896
600519.SH,2001-10-12,35.9,36.65,34.05,36.0,35.75,0.25,0.7,20010.7,70897.331
600519.SH,2001-10-15,35.9,36.0,34.9,35.3,36.0,-0.7,-1.94,9755.31,34501.714
600519.SH,2001-10-16,35.13,35.8,34.75,34.8,35.3,-0.5,-1.42,8319.91,29068.173
600519.SH,2001-10-17,34.79,34.81,33.9,34.2,34.8,-0.6,-1.72,12507.68,42766.283
600519.SH,2001-10-18,34.2,34.66,33.91,34.04,34.2,-0.16,-0.47,4983.46,16999.063
600519.SH,2001-10-19,34.0,34.15,33.01,33.5,34.04,-0.54,-1.59,15687.54,52422.843
